"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.552537198E0,2.612087488E0,2.343687534E0,1.029187441E0
4.572537198E0,2.960375071E0,1.646149993E0,1.542199969E0
4.592537198E0,2.779562473E0,6.517499685E-1,1.498199940E0
4.612537198E0,1.495450020E0,-4.025999904E-1,7.420874834E-1
4.632537198E0,-9.894499779E-1,-8.607500196E-1,-2.639999986E-2
4.652537198E0,-1.845800042E0,-1.412950039E0,-4.955500066E-1
4.672537198E0,-2.126849890E0,-2.121624947E0,-9.976999760E-1
4.692537198E0,-1.982749939E0,-2.394012451E0,-9.597499967E-1
4.712537198E0,-1.864225030E0,-2.759350061E0,-9.194625020E-1
4.732537198E0,-1.678462505E0,-2.791112423E0,-7.948874831E-1
4.752537198E0,-1.514837503E0,-2.628587484E0,-6.470749974E-1
4.772537198E0,-1.420650005E0,-2.588299990E0,-5.310249925E-1
4.792537198E0,-1.376787543E0,-2.722637415E0,-5.713124871E-1
4.812537198E0,-1.656462550E0,-2.764162540E0,-6.726499796E-1
4.832537198E0,-2.183087587E0,-2.565062523E0,-7.251750231E-1
4.852537198E0,-2.034037590E0,-2.495487452E0,-7.056499720E-1
4.872537198E0,-1.599125028E0,-2.599299908E0,-6.067875028E-1
4.892537198E0,-1.474412441E0,-2.744637489E0,-4.247374833E-1
4.912537198E0,-1.395074964E0,-2.970687389E0,-4.345000088E-1
4.932537198E0,-1.643124938E0,-3.064737558E0,-6.201249957E-1
4.952537198E0,-1.836037517E0,-2.819162369E0,-5.945500135E-1
4.972537198E0,-1.540412545E0,-2.952399969E0,-5.126000047E-1
4.992537198E0,-1.309550047E0,-3.464312553E0,-5.933125019E-1
5.012537198E0,-1.553887486E0,-3.846699953E0,-7.741249800E-1
5.032537198E0,-1.914274931E0,-3.889462471E0,-8.926500082E-1
5.052537198E0,-1.739650011E0,-3.482599974E0,-7.606499791E-1
5.072537198E0,-1.474412441E0,-3.520412445E0,-7.838875055E-1
5.092537198E0,-1.740749955E0,-3.641412497E0,-8.584125042E-1
5.112537198E0,-1.656462550E0,-3.751412392E0,-9.059875011E-1
5.132537198E0,-9.601625204E-1,-3.797749996E0,-8.779374957E-1
5.152537198E0,-1.228974938E0,-3.558362484E0,-9.585124850E-1
5.172537198E0,-2.275899887E0,-2.963399887E0,-9.805124998E-1
5.192537198E0,-2.154900074E0,-2.753162384E0,-8.804125190E-1
5.212537198E0,-1.037162542E0,-3.295599937E0,-7.031750083E-1
5.232537198E0,-1.008975029E0,-3.496074915E0,-8.204625249E-1
5.252537198E0,-1.927749991E0,-2.984162569E0,-8.511250019E-1
5.272537198E0,-1.479362488E0,-2.651824951E0,-5.652624965E-1
5.292537198E0,-5.105375051E-1,-2.976737499E0,-4.467374980E-1
5.312537198E0,-6.815875173E-1,-3.120975018E0,-5.933125019E-1
5.332537198E0,-1.296074986E0,-2.675062418E0,-5.945500135E-1
5.352537198E0,-1.112787485E0,-2.275487423E0,-3.977875113E-1
5.372537198E0,-5.080624819E-1,-2.384249926E0,-3.306874931E-1
5.392537198E0,-6.485875249E-1,-2.435537577E0,-2.671625018E-1
5.412537198E0,-8.501625061E-1,-2.312200069E0,-1.962125003E-1
5.432537198E0,-7.060624957E-1,-2.292675018E0,-1.388749927E-1
