"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.393437818E0,-8.520000577E-1,3.553950071E0,-5.205000401E0
2.413437818E0,-2.350500077E-1,4.639050007E0,-6.462000370E0
2.433437818E0,6.405000389E-2,5.224950314E0,-7.398000240E0
2.453437818E0,-2.590500116E-1,5.221050262E0,-6.963000298E0
2.473437818E0,-1.020000100E0,4.735050201E0,-5.313000202E0
2.493437818E0,-2.038050175E0,4.219950199E0,-4.015050411E0
2.513437818E0,-1.804950118E0,3.849000216E0,-1.927050114E0
2.533437818E0,-1.888950109E0,3.517950058E0,4.200000167E-1
2.553437818E0,-3.346950054E0,3.085050106E0,1.720950127E0
2.573437818E0,-4.189949989E0,2.757000208E0,3.255000114E0
2.593437818E0,-2.611950159E0,3.226050138E0,4.443000317E0
2.613437818E0,-2.940000057E0,2.956050158E0,4.681950092E0
2.633437818E0,-3.115050077E0,2.275950193E0,6.544950485E0
2.653437818E0,-1.911000133E0,2.335050106E0,8.659049988E0
2.673437818E0,-1.911000133E0,2.335050106E0,8.659049988E0
2.693437818E0,-1.911000133E0,2.335050106E0,8.659049988E0
2.713437818E0,4.470000267E-1,1.972050071E0,8.026950836E0
2.733437818E0,1.020000055E-1,1.291950107E0,1.017705059E1
2.753437818E0,-5.479500294E-1,8.370000124E-1,1.135005093E1
2.773437818E0,-7.695000619E-2,4.030500054E-1,9.871050835E0
2.793437818E0,1.318050027E0,-2.659500241E-1,7.942950249E0
2.813437818E0,1.675050020E0,-1.207050085E0,7.981950283E0
2.833437818E0,1.258050084E0,-1.750950098E0,9.559050560E0
2.853437818E0,1.242000103E0,-2.100000143E0,9.672000885E0
2.873437818E0,2.697000027E0,-2.598000050E0,1.151100063E1
2.893437818E0,3.358050108E0,-2.761050224E0,1.392705059E1
2.913437818E0,3.777000189E0,-2.533950090E0,1.508805084E1
2.933437818E0,4.036050320E0,-2.505000114E0,1.446300030E1
2.953437818E0,4.162950039E0,-2.269950151E0,1.326105022E1
2.973437818E0,5.095950127E0,-2.614950180E0,1.311495018E1
2.993437818E0,6.241050243E0,-2.682000160E0,1.426200104E1
3.013437818E0,5.455950260E0,-2.383050203E0,1.789605141E1
3.033437818E0,5.821950436E0,-2.658000231E0,1.607400131E1
3.053437818E0,4.822950363E0,-2.562000036E0,1.493205070E1
3.073437818E0,4.440000057E0,-2.002050161E0,1.299795055E1
3.093437818E0,5.854950428E0,-1.743000031E0,1.020795059E1
3.113437818E0,6.969000340E0,-1.522950053E0,7.954950333E0
3.133437818E0,7.486050129E0,-1.279050112E0,7.684950352E0
3.153437818E0,8.266050339E0,-1.320000052E0,8.118000031E0
3.173437818E0,8.812050819E0,-1.317000031E0,8.470050812E0
3.193437818E0,9.358050346E0,-1.332000017E0,8.626049995E0
3.213437818E0,9.907050133E0,-1.525950074E0,8.317049980E0
3.233437818E0,1.011000061E1,-1.770000100E0,7.812000275E0
3.253437818E0,1.038495064E1,-1.834050059E0,7.369050503E0
3.273437818E0,1.091505051E1,-2.292000055E0,6.997950554E0
3.293437818E0,1.116600037E1,-2.895000219E0,6.930000305E0
3.313437818E0,1.101300049E1,-3.232950211E0,7.315950394E0
3.333437818E0,1.094100094E1,-3.577050209E0,7.609950542E0
3.353437818E0,1.076100063E1,-3.865050077E0,7.630050182E0
3.373437818E0,9.832050323E0,-3.486000061E0,7.177050114E0
3.393437818E0,9.397050858E0,-2.988000154E0,6.507000446E0
3.413437818E0,9.466050148E0,-2.452050209E0,5.368950367E0
3.433437818E0,9.910950661E0,-1.477950096E0,3.187950134E0
3.453437818E0,9.910950661E0,-1.477950096E0,3.187950134E0
3.473437818E0,7.603050232E0,-3.550500274E-1,6.973950386E0
3.493437818E0,6.526050091E0,1.260000020E-1,1.409895039E1
3.513437818E0,7.941000462E0,-1.032000065E0,1.699394989E1
3.533437818E0,8.760000229E0,-1.356000066E0,1.140495014E1
3.553437818E0,6.066000462E0,-7.695000619E-2,3.727050066E0
3.573437818E0,4.744050026E0,6.469500065E-1,-9.289500713E-1
3.593437818E0,6.423000336E0,1.609500051E-1,-1.549050093E0
3.613437818E0,7.885950565E0,-7.950000465E-3,4.950000346E-1
3.633437818E0,8.491950035E0,9.000000358E-2,2.989050150E0
3.653437818E0,8.761950493E0,-8.860500455E-1,4.222949982E0
3.673437818E0,8.137050629E0,-1.972950101E0,5.223000050E0
3.693437818E0,7.120050430E0,-2.461950064E0,5.287950039E0
3.713437818E0,7.087950230E0,-1.224000096E0,5.695050240E0
3.733437818E0,9.258000374E0,-2.011950016E0,6.033000469E0
3.753437818E0,1.040700054E1,-2.091000080E0,6.643050194E0
3.773437818E0,1.150800037E1,-2.614950180E0,7.110000134E0
3.793437818E0,1.229805088E1,-2.953050137E0,7.761000156E0
3.813437818E0,1.305495071E1,-2.746950150E0,8.769000053E0
3.833437818E0,1.389300060E1,-3.060000181E0,9.322050095E0
3.853437818E0,1.274895096E1,-2.577000141E0,9.187950134E0
3.873437818E0,1.300005054E1,-2.464050055E0,9.559050560E0
3.893437818E0,1.344300079E1,-3.115050077E0,1.011195087E1
3.913437818E0,1.344300079E1,-3.115050077E0,1.011195087E1
3.933437818E0,1.222200012E1,-4.669050217E0,1.299000072E1
3.953437818E0,1.216905022E1,-5.385000229E0,1.420695114E1
3.973437818E0,1.281105042E1,-6.208950520E0,1.491300106E1
3.993437818E0,1.285905075E1,-6.241950512E0,1.474995041E1
4.013437818E0,1.317705059E1,-6.172950268E0,1.458495045E1
4.033437818E0,1.355295086E1,-6.319050312E0,1.407000065E1
4.053437818E0,1.323495102E1,-6.472050190E0,1.299795055E1
4.073437818E0,1.195605087E1,-6.373950481E0,1.212105083E1
4.093437818E0,9.886950493E0,-6.024000168E0,1.177200031E1
4.113437818E0,7.945950508E0,-5.634000301E0,1.156305027E1
4.133437818E0,6.709950447E0,-4.878000259E0,1.113705063E1
4.153437818E0,6.346050262E0,-4.474950314E0,1.072995090E1
4.173437818E0,5.986950397E0,-3.919950247E0,1.097400093E1
4.193437818E0,5.676000118E0,-3.405000210E0,1.113195038E1
4.213437818E0,4.821000099E0,-3.010050058E0,1.075200081E1
4.233437818E0,3.394050121E0,-2.931000233E0,1.091700077E1
4.253437818E0,2.206950188E0,-2.896950245E0,1.176705074E1
4.273437818E0,1.273050070E0,-2.875950098E0,1.203000069E1
4.293437818E0,1.378050089E0,-2.233950138E0,1.159695053E1
4.313437818E0,2.202000141E0,-1.762950063E0,9.502050400E0
4.333437818E0,2.649000168E0,-1.024950027E0,7.189050198E0
4.353437818E0,2.551050186E0,-3.400500119E-1,5.203950405E0
4.373437818E0,2.617950201E0,2.500500083E-1,3.604950190E0
4.393437818E0,3.174000263E0,8.290500641E-1,2.089050055E0
