"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.523753445E0,-8.446624875E-1,-1.564474940E0,-2.271499932E-1
3.543753445E0,-1.069474936E0,-1.229799986E0,-2.773374915E-1
3.563753445E0,-1.274624944E0,-1.532712460E0,-5.472499728E-1
3.583753445E0,-1.191575050E0,-1.938337445E0,-6.462500095E-1
3.603753445E0,-7.163749933E-1,-2.216912508E0,-6.902499795E-1
3.623753445E0,-8.971874714E-1,-2.176625013E0,-7.255874872E-1
3.643753445E0,-1.319862485E0,-1.854050040E0,-5.949624777E-1
3.663753445E0,-9.985250235E-1,-1.920050025E0,-4.141499996E-1
3.683753445E0,-4.500375092E-1,-2.434437513E0,-4.079625010E-1
3.703753445E0,-5.623750091E-1,-2.374487400E0,-3.921499848E-1
3.723753445E0,-4.890874922E-1,-2.047100067E0,-1.490499973E-1
3.743753445E0,-2.300374955E-1,-2.185149908E0,-8.910000324E-2
3.763753445E0,-4.450874925E-1,-2.176625013E0,-1.831499934E-1
3.783753445E0,-8.336625099E-1,-1.780762434E0,-2.516250014E-1
3.803753445E0,-4.573250115E-1,-1.736762524E0,-8.552499861E-2
3.823753445E0,1.241625026E-1,-2.082575083E0,4.276249930E-2
3.843753445E0,-2.422749996E-1,-2.441725016E0,-2.919124961E-1
3.863753445E0,-1.324812531E0,-1.931049943E0,-5.387250185E-1
3.883753445E0,-1.398100019E0,-1.026987553E0,-4.446749985E-1
3.903753445E0,-1.104125008E-1,-1.196799994E0,-1.343374997E-1
3.923753445E0,4.002625048E-1,-2.011625051E0,-4.399999976E-2
3.943753445E0,-5.636125207E-1,-2.257200003E0,-1.611499935E-1
3.963753445E0,-1.474962473E0,-1.634187460E0,-3.286249936E-1
3.983753445E0,-8.336625099E-1,-1.067275047E0,-1.918125004E-1
4.003753445E0,2.939749956E-1,-1.500949979E0,8.195000142E-2
4.023753445E0,4.247374833E-1,-2.152149916E0,6.228749827E-2
4.043753445E0,-4.952749908E-1,-1.920050025E0,-1.575749964E-1
4.063753445E0,-1.126812458E0,-1.233374953E0,-2.821500003E-1
4.083753445E0,-7.138999701E-1,-9.267500043E-1,-1.856250018E-1
4.103753445E0,2.341624945E-1,-1.487612486E0,-6.462500244E-2
4.123753445E0,-3.464999795E-2,-1.742949963E0,-1.331000030E-1
4.143753445E0,-7.249000072E-1,-1.439900041E0,-1.623875052E-1
4.163753445E0,-7.616124749E-1,-9.512249827E-1,-1.733874977E-1
4.183753445E0,-2.215124965E-1,-9.719874859E-1,-4.881250113E-2
4.203753445E0,2.402125001E-1,-1.522949934E0,2.474999987E-3
4.223753445E0,-1.226499975E-1,-1.692762494E0,-6.104999781E-2
4.243753445E0,-6.210874915E-1,-1.621950030E0,-1.991000026E-1
4.263753445E0,-9.350000024E-1,-1.371425033E0,-3.554374874E-1
4.283753445E0,-8.262374997E-1,-1.061224937E0,-2.809124887E-1
4.303753445E0,-1.544124931E-1,-1.180850029E0,-1.061500013E-1
4.323753445E0,1.742125005E-1,-1.456949949E0,-1.086250022E-1
4.343753445E0,-1.067000031E-1,-1.496137500E0,-1.783374995E-1
4.363753445E0,-5.880874991E-1,-1.240800023E0,-2.186249942E-1
