"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.499384373E0,5.484000206E0,1.060500070E-1,9.090000153E0
4.518482889E0,5.745000362E0,9.900000691E-2,8.130000114E0
4.537581348E0,5.854950428E0,-1.200000010E-2,8.002950668E0
4.556679843E0,5.913000107E0,-1.609500051E-1,8.665950775E0
4.575778524E0,5.902950287E0,-1.660500020E-1,8.965950012E0
4.594877075E0,6.250050068E0,-9.405000508E-2,8.452950478E0
4.613975513E0,6.375000477E0,-5.805000290E-2,8.105999947E0
4.633073940E0,5.961000443E0,-1.200000048E-1,8.563050270E0
4.652172626E0,6.022950172E0,-1.150500029E-1,9.006000519E0
4.671271075E0,6.727050304E0,3.000000026E-3,8.707050323E0
4.690369636E0,6.727050304E0,5.595000088E-2,8.695050240E0
4.709468108E0,6.478050232E0,-5.295000225E-2,9.640950203E0
4.728566580E0,6.423000336E0,-4.605000094E-2,1.065405083E1
4.747665270E0,6.801000118E0,1.300500035E-1,1.116405010E1
4.766763758E0,6.535050392E0,2.119500041E-1,1.111995029E1
4.785862284E0,6.198000431E0,1.210500076E-1,1.101795006E1
4.804960734E0,6.121050358E0,0.000000000E0,1.096695042E1
4.824059413E0,6.193050385E0,-2.895000204E-2,1.100805092E1
4.843157656E0,6.130950451E0,1.039500013E-1,1.110105038E1
4.862256375E0,6.669000149E0,2.620500028E-1,1.052400017E1
4.881354858E0,7.282050133E0,3.070500195E-1,9.448950768E0
4.900453414E0,6.880050182E0,2.260500044E-1,9.403950691E0
4.919551906E0,6.061050415E0,-8.400000632E-2,1.020300007E1
4.938650600E0,5.973000050E0,-4.980000257E-1,1.048095036E1
4.957749055E0,6.373050213E0,-3.090000153E-1,9.271950722E0
4.976847625E0,6.600000381E0,-5.295000225E-2,8.425050735E0
4.995946050E0,6.066000462E0,-6.705000252E-2,9.391950607E0
5.015044502E0,5.320950031E0,-8.205000311E-2,1.038495064E1
5.034143183E0,5.841000080E0,-8.400000632E-2,9.640950203E0
5.053241646E0,5.877000332E0,3.100500107E-1,9.046950340E0
5.072340107E0,4.785000324E0,4.579500258E-1,9.862950325E0
5.091438630E0,4.354050159E0,1.729500145E-1,1.020600033E1
5.110537327E0,4.555050373E0,3.030000031E-1,9.636000633E0
5.129635800E0,4.414050102E0,5.230500102E-1,9.277050018E0
5.148734189E0,3.700950146E0,5.179499984E-1,9.624000549E0
5.167832736E0,3.394050121E0,4.300500154E-1,1.025400066E1
5.186931199E0,3.174000263E0,5.520000458E-1,1.012695026E1
5.206029665E0,3.175950050E0,7.890000343E-1,9.373050690E0
5.225128375E0,2.980050087E0,1.117050052E0,9.172050476E0
5.244226848E0,2.697000027E0,1.287000060E0,9.349050522E0
5.263325394E0,2.263950109E0,1.363050103E0,9.283950806E0
5.282423868E0,1.993050098E0,1.507050037E0,9.282000542E0
5.301522544E0,2.116050005E0,1.765950084E0,9.255000114E0
5.320621012E0,2.059950113E0,1.900050044E0,9.151950836E0
5.339719534E0,1.189050078E0,1.903950095E0,9.163949966E0
5.358818007E0,9.880500436E-1,1.840050101E0,9.030000687E0
5.377916469E0,4.900500178E-1,1.792050123E0,9.787050247E0
5.397015169E0,8.805000782E-2,1.693950057E0,1.016805077E1
5.416113623E0,-2.200500071E-1,1.717950106E0,9.484950066E0
5.435212126E0,-7.395000011E-2,2.041050196E0,8.563050270E0
5.454310832E0,-3.469500244E-1,2.272950172E0,8.470050812E0
5.473409306E0,-6.180000305E-1,2.232000113E0,8.989950180E0
5.492507801E0,-8.380500674E-1,2.280000210E0,9.480000496E0
5.511606313E0,-1.317000031E0,2.299950123E0,9.376950264E0
5.530704772E0,-1.591950059E0,2.380950212E0,9.100049973E0
5.549803486E0,-1.810050130E0,2.485950232E0,8.869950294E0
5.568901941E0,-2.322000027E0,2.472000122E0,8.938950539E0
5.588000472E0,-2.205000162E0,2.719050169E0,8.305050850E0
5.607098946E0,-2.326950073E0,2.977050066E0,7.833000183E0
5.626197402E0,-2.481000185E0,3.121050119E0,8.034000397E0
5.645296093E0,-2.497050047E0,3.310050249E0,8.178000450E0
5.664394575E0,-2.634000063E0,3.454050064E0,8.131950378E0
5.683493078E0,-3.060000181E0,3.528000116E0,8.173049927E0
5.702591551E0,-3.249000072E0,3.667050123E0,8.092050552E0
5.721690008E0,-3.400050163E0,3.741000175E0,7.857000351E0
5.740788683E0,-3.603000164E0,3.798000097E0,7.632000446E0
5.759887152E0,-3.763950109E0,3.837000132E0,7.894950390E0
5.778985664E0,-4.066050053E0,3.697950125E0,8.484000206E0
5.798084123E0,-4.615950108E0,3.601950169E0,8.404950142E0
5.817182803E0,-5.052000046E0,3.573000193E0,8.032050133E0
5.836281253E0,-4.825050354E0,3.781950235E0,7.357050419E0
5.855379685E0,-4.738050461E0,4.050000191E0,6.909000397E0
5.874478222E0,-4.887000084E0,4.045050144E0,7.122000217E0
5.893576685E0,-5.208000183E0,3.970950127E0,7.680000305E0
5.912675405E0,-5.434950352E0,4.059000015E0,7.468950272E0
5.931773849E0,-5.473050117E0,4.246050358E0,6.792000294E0
5.950872405E0,-5.445000172E0,4.417950153E0,6.289050102E0
5.969970869E0,-5.607000351E0,4.516950130E0,5.878950119E0
5.989069568E0,-5.611950397E0,4.521000385E0,5.626050472E0
6.008168060E0,-5.880000114E0,4.591050148E0,5.247000217E0
6.027266517E0,-5.836950302E0,4.720050335E0,4.974000454E0
6.046365030E0,-5.785050392E0,4.666950226E0,5.344950199E0
6.065463512E0,-6.177000523E0,4.660050392E0,5.242950439E0
6.084562226E0,-6.402000427E0,4.665000439E0,4.905000210E0
6.103660713E0,-6.393000126E0,4.777950287E0,4.729950428E0
6.122759260E0,-6.304050446E0,4.806000233E0,4.198950291E0
6.141857733E0,-6.225000381E0,4.957050323E0,3.511050224E0
6.160956404E0,-6.117000103E0,5.110050201E0,2.925000191E0
6.180054830E0,-6.286950111E0,5.119950294E0,2.784000158E0
6.199153372E0,-6.484050274E0,5.155950069E0,2.962950230E0
6.218251839E0,-6.910050392E0,4.981050014E0,3.567000151E0
6.237350292E0,-7.330950260E0,4.644000053E0,4.345050335E0
6.256448996E0,-7.585050583E0,4.531050205E0,4.548000336E0
6.275547498E0,-7.615950584E0,4.593000412E0,4.111950397E0
6.294646030E0,-7.678950310E0,4.702950001E0,3.265050173E0
6.313744503E0,-7.282950401E0,4.906949997E0,2.368950129E0
6.332843164E0,-6.747000217E0,5.221050262E0,8.680500388E-1
6.351941614E0,-6.247050285E0,5.533950329E0,-8.980500698E-1
6.371040075E0,-5.775000095E0,5.874000072E0,-2.241000175E0
6.390138645E0,-5.445000172E0,6.019950390E0,-2.875950098E0
6.409237156E0,-5.548050404E0,5.758950233E0,-2.935050249E0
6.428335847E0,-6.096000195E0,5.464950085E0,-2.370000124E0
6.447434391E0,-6.211050510E0,5.146050453E0,-1.681050062E0
6.466532840E0,-6.283050060E0,4.845000267E0,-1.960500032E-1
6.485631276E0,-6.430950165E0,4.632000446E0,4.830000103E-1
6.504729939E0,-6.445050240E0,4.849050045E0,3.289500177E-1
6.523828435E0,-6.064950466E0,4.957050323E0,6.310500503E-1
6.542926977E0,-5.851950169E0,4.906949997E0,1.840050101E0
6.562025459E0,-6.055050373E0,4.729950428E0,2.701950073E0
6.581124183E0,-6.394950390E0,4.579050064E0,3.016050100E0
6.600222646E0,-6.345000267E0,4.512000084E0,3.604950190E0
6.619321075E0,-5.689050198E0,4.744050026E0,3.844050169E0
6.638419606E0,-5.575950146E0,4.725000381E0,4.527000427E0
6.657518050E0,-5.782050133E0,4.519050121E0,5.191950321E0
6.676616735E0,-5.641050339E0,4.624050140E0,5.182950020E0
6.695715213E0,-5.598000050E0,4.672049999E0,5.317050457E0
6.714813779E0,-5.794050217E0,4.390050411E0,5.989950180E0
6.733912242E0,-5.860950470E0,3.991950274E0,7.147950172E0
6.753010690E0,-5.440050125E0,4.033050060E0,7.672950268E0
6.772109346E0,-5.635950089E0,4.042950153E0,7.536000252E0
6.791207868E0,-5.902050495E0,3.894000292E0,7.831050396E0
6.810306334E0,-5.895000458E0,3.910950184E0,7.915050507E0
6.829405000E0,-4.978050232E0,4.394999981E0,6.454050541E0
6.848503497E0,-4.678050041E0,4.651050091E0,5.614050388E0
6.867602039E0,-4.401000023E0,4.438050270E0,6.804000378E0
6.886700536E0,-4.417050362E0,4.219950199E0,7.989000320E0
6.905798994E0,-4.528050423E0,4.246050358E0,7.279950142E0
6.924897655E0,-4.312050343E0,4.264950275E0,6.423000336E0
6.943996114E0,-3.838050127E0,4.085999966E0,6.898950100E0
6.963094479E0,-3.571950197E0,3.741000175E0,8.041049957E0
6.982193035E0,-3.697050095E0,3.339000225E0,8.326050758E0
7.001291517E0,-3.429000139E0,3.327000141E0,7.941000462E0
7.020390208E0,-3.148950100E0,3.250050068E0,7.279950142E0
7.039488642E0,-3.141000032E0,2.902950048E0,8.226000786E0
7.058587193E0,-3.517050266E0,2.508000135E0,9.837000847E0
7.077685637E0,-3.070050240E0,2.556000233E0,9.243000031E0
7.096784295E0,-2.392050028E0,2.848050117E0,8.235000610E0
7.115882758E0,-1.954050064E0,2.902950048E0,8.548950195E0
7.134981309E0,-1.935000062E0,2.842950106E0,9.454050064E0
7.154079834E0,-1.365000010E0,3.115950108E0,8.137050629E0
7.173178521E0,-9.120000601E-1,3.138000250E0,7.440000534E0
7.192277113E0,-7.399500608E-1,2.659050226E0,9.303000450E0
7.211375655E0,-1.456050038E0,2.026950121E0,1.170705032E1
7.230474128E0,-1.642950058E0,1.918950081E0,1.123995018E1
7.249572590E0,-1.032000065E0,2.314050198E0,8.989950180E0
7.268671270E0,-1.939500123E-1,2.589000225E0,7.735050201E0
7.287769734E0,2.860500216E-1,2.221050024E0,9.028050423E0
